Destination,State/Region,Category,Best Season to Visit,Popular Activities,Average Budget,Visitor Ratings,Number of Reviews,State,Rating,Budget_Level,Preferred_Activity,Season_Preference,User_Age_Group,Preferred_Travel_Type
Ooty,,Adventure,,,,,,Rajasthan,4.219137067796928,Low,Trekking,Summer,26-35,Friends
Leh,,Hill Station,,,,,,West Bengal,3.182132364164362,High,Boating,Summer,,Solo
Kerala,,Historical,,,,,,West Bengal,3.9478395218223836,Medium,Photography,Monsoon,50+,Family
Mumbai,,Historical,,,,,,West Bengal,3.387400585571404,Medium,Palace Tour,Monsoon,36-50,Solo
Kolkata,,Wildlife,,,,,,Rajasthan,3.4167673580176507,High,Cultural Tour,Winter,26-35,Family
Amritsar,,Wildlife,,,,,,Rajasthan,4.322607924573734,Medium,Rafting,Monsoon,36-50,Solo
Jaipur,,Historical,,,,,,Punjab,4.822512303668576,High,Palace Tour,Monsoon,18-25,Friends
Leh,,,,,,,,Himachal Pradesh,3.807513220956693,High,Photography,Monsoon,18-25,Family
Prayagraj,,Historical,,,,,,Gujarat,3.4154985460243807,Low,Snowboarding,Summer,36-50,Friends
Goa,,Hill Station,,,,,,Gujarat,4.297493874473308,Medium,Rafting,Winter,50+,Friends
Hyderabad,,Beach,,,,,,Gujarat,4.7423740927006355,Low,Rafting,Summer,26-35,Solo
Jaisalmer,,Hill Station,,,,,,Uttar Pradesh,4.496637602244982,Medium,Rafting,Monsoon,18-25,Family
Ajanta Caves,,Religious,,,,,,Tamil Nadu,4.737514461073174,High,Food Tour,Winter,18-25,Luxury
Amritsar,,Adventure,,,,,,Punjab,4.073109342021599,Medium,Palace Tour,Monsoon,36-50,Luxury
Kolkata,,Luxury,,,,,,Punjab,4.503752488738382,High,Shopping,Summer,50+,Friends
Jaisalmer,,Beach,,,,,,Uttarakhand,3.280129118717873,Medium,Snowboarding,Summer,36-50,Solo
Rann of Kutch,,Heritage,,,,,,Tamil Nadu,3.696549230726383,Low,Trekking,Monsoon,36-50,Solo
Prayagraj,,Adventure,,,,,,Jammu & Kashmir,3.7790983289630447,Low,Beach Activities,Winter,36-50,Solo
Kolkata,,Adventure,,,,,,Uttarakhand,4.022591492492069,High,Snowboarding,Summer,36-50,Family
Mussoorie,,Luxury,,,,,,Jammu & Kashmir,4.858152720513647,Low,Trekking,Monsoon,36-50,Family
Jaisalmer,,Religious,,,,,,Himachal Pradesh,4.748593120444348,High,Photograph,Any,50+,Solo
Haridwar,,Religious,,,,,,Maharashtra,3.269050984578369,High,Photography,Monsoon,36-50,Luxury
Jim Corbett,,Religious,,,,,,Jammu & Kashmir,3.3455793037649264,High,Trekking,Monsoon,50+,Luxury
Amritsar,,Beach,,,,,,West Bengal,3.7152810991778225,Medium,Rafting,Winter,26-35,Family
Shimla,,Hill Station,,,,,,Jammu & Kashmir,3.5814877317813476,High,Temple Visit,Monsoon,26-35,Solo
Pune,,Adventure,,,,,,Karnataka,4.229541906312525,Low,Palace Tour,Any,26-35,Luxury
Coorg,,Hill Station,,,,,,Tamil Nadu,4.80555209552909,Medium,Trekking,Monsoon,26-35,Luxury
Rishikesh,,Hill Station,,,,,,Gujarat,4.924583083345174,Low,Palace Tour,Any,18-25,Family
Jaisalmer,,Religious,,,,,,Gujarat,4.307205905070453,High,Safari,Summer,50+,Family
Andaman,,Hill Station,,,,,,Rajasthan,4.676318402802173,High,Food Tour,Monsoon,26-35,Luxury
Darjeeling,,Adventure,,,,,,Tamil Nadu,4.050404400461594,Low,Beach Activities,Winter,18-25,Solo
Haridwar,,Adventure,,,,,,Himachal Pradesh,3.4166538937200794,Medium,Safari,Monsoon,50+,Luxury
Goa,,Wildlife,,,,,,Gujarat,4.049376824186955,Low,Trekking,Any,18-25,Luxury
Coorg,,Heritage,,,,,,Punjab,4.110165202875303,High,Snowboarding,Any,18-25,Solo
Rishikesh,,Beach,,,,,,West Bengal,4.484915128427113,Medium,Palace Tour,Winter,36-50,Family
Leh,,Hill Station,,,,,,Maharashtra,3.439765979414698,High,Safari,Any,18-25,Solo
Delhi,,Beach,,,,,,Himachal Pradesh,3.7366207641734634,High,Palace Tour,Monsoon,18-25,Solo
Rishikesh,,Beach,,,,,,Punjab,3.728054938429133,Low,Shopping,Any,50+,Solo
Varanasi,,Beach,,,,,,Goa,4.91887919148233,High,Food Tour,Monsoon,18-25,Solo
Andaman,,Luxury,,,,,,Tamil Nadu,3.887889920653438,Low,Snowboarding,Monsoon,36-50,Family
Agra,,Historical,,,,,,Karnataka,4.510187934596293,Medium,Safari,Any,26-35,Luxury
Mount Abu,,Wildlife,,,,,,Himachal Pradesh,4.5016227627488785,High,Palace Tour,Winter,26-35,Friends
Kedarnath,,Beach,,,,,,Madhya Pradesh,3.5310883696064828,High,Shopping,Summer,50+,Family
Kerala,,Historical,,,,,,Tamil Nadu,4.143739378743464,Medium,Snowboarding,Winter,50+,Solo
Rann of Kutch,,Historical,,,,,,Madhya Pradesh,4.788605786637296,Low,Rafting,Summer,18-25,Luxury
Ajanta Caves,,Wildlife,,,,,,Maharashtra,3.950395438913899,High,Cultural Tour,Winter,50+,Luxury
Kerala,,Adventure,,,,,,Punjab,4.890235014685092,Medium,Rafting,Monsoon,18-25,Solo
Bangalore,,Luxury,,,,,,Tamil Nadu,3.428916458648323,High,Beach Activities,Monsoon,50+,Family
Pune,,Hill Station,,,,,,Rajasthan,3.1483182115480615,Low,Trekking,Any,26-35,Solo
Prayagraj,,Wildlife,,,,,,Jammu & Kashmir,4.782907746289498,Low,Temple Visit,Summer,26-35,Luxury
Bangalore,,Heritage,,,,,,Uttarakhand,4.695362395924433,Low,Cultural Tour,Summer,26-35,Luxury
Udaipur,,Historical,,,,,,Maharashtra,4.9851797518676895,Low,Shopping,Any,26-35,Family
Mussoorie,,Beach,,,,,,Madhya Pradesh,4.358786976224852,Medium,Trekking,Winter,18-25,Friends
Jaisalmer,,Historical,,,,,,Uttarakhand,4.873375853334299,High,Shopping,Any,18-25,Solo
Mumbai,,Luxury,,,,,,Uttar Pradesh,4.6538980501682214,Medium,Safari,Winter,18-25,Friends
Leh,,Heritage,,,,,,Madhya Pradesh,4.688852666240174,Low,Hiking,Any,26-35,Luxury
Pune,,Adventure,,,,,,Jammu & Kashmir,4.138283140908537,Low,Beach Activities,Summer,36-50,Friends
Ajanta Caves,,Adventure,,,,,,Maharashtra,3.7647291958334215,Low,Food Tour,Summer,26-35,Solo
Delhi,,Religious,,,,,,Himachal Pradesh,4.869116145086563,Low,Beach Activities,Winter,26-35,Solo
Coorg,,Beach,,,,,,Rajasthan,3.864234351231789,High,Shopping,Summer,36-50,Luxury
Agra,,Religious,,,,,,Himachal Pradesh,4.077638734499338,Low,Palace Tour,Summer,36-50,Family
Kerala,,Luxury,,,,,,Goa,3.8922286142503753,High,Beach Activities,Summer,50+,Family
Mumbai,,Heritage,,,,,,Uttar Pradesh,4.129636627920394,Low,Hiking,Summer,26-35,Luxury
Ooty,,Historical,,,,,,Rajasthan,3.941010157984654,High,Hiking,Monsoon,36-50,Solo
Ooty,,Hill Statio,,,,,,Karnataka,3.0959351171589518,High,Safari,Any,50+,Family
Delhi,,Religious,,,,,,Madhya Pradesh,4.7640963720153975,Low,Food Tour,Any,36-50,Friends
Rann of Kutch,,Adventure,,,,,,Gujarat,3.8887876378315394,Medium,Food Tour,Monsoon,36-50,Luxury
Haridwar,,Beach,,,,,,Madhya Pradesh,4.177887297014697,Medium,Shopping,Summer,50+,Friends
Jaipur,,Historical,,,,,,Tamil Nadu,3.278375605515974,Medium,Photography,Any,26-35,Solo
Hyderabad,,Heritage,,,,,,Tamil Nadu,3.0067756959652785,Medium,Shopping,Any,50+,Family
Varanasi,,Wildlife,,,,,,Madhya Pradesh,3.4905801872872857,Medium,Hiking,Any,26-35,Solo
Pune,,Luxury,,,,,,Gujarat,4.4091720642667,Low,Boating,Winter,36-50,Friends
Kolkata,,Luxury,,,,,,West Bengal,3.1983890602257574,Low,Beach Activities,Monsoon,50+,Solo
Coorg,,Adventure,,,,,,Tamil Nadu,4.8177748807729355,Low,Hiking,Winter,18-25,Solo
Prayagraj,,Wildlife,,,,,,Punjab,3.4300451387123694,Low,Rafting,Winter,36-50,Luxury
Mysore,,Luxury,,,,,,Uttar Pradesh,3.4091872285835514,Low,Boating,Monsoon,50+,Luxury
Bangalore,,Hill Station,,,,,,Punjab,3.3630159232429913,Low,Boating,Any,36-50,Solo
Darjeeling,,Historical,,,,,,Gujarat,3.0279634259427297,High,Shopping,Winter,50+,Luxury
Andaman,,Beach,,,,,,Jammu & Kashmir,4.543610936956469,High,Hiking,Any,26-35,Solo
Bangalore,,Historical,,,,,,West Bengal,4.7500690624905175,Low,Safari,Winter,18-25,Friends
Kedarnath,,Hill Station,,,,,,West Bengal,4.228325405232398,Low,Cultural Tour,Any,36-50,Luxury
Leh,,Luxury,,,,,,Madhya Pradesh,3.3763999633597246,High,Rafting,Summer,18-25,Solo
Coorg,,Hill Station,,,,,,Gujarat,3.5705559938817597,High,Shopping,Summer,26-35,Luxury
Udaipur,,Historical,,,,,,Gujarat,3.951853394729927,Low,Food Tour,Summer,50+,Solo
Ajanta Caves,,Luxury,,,,,,Tamil Nadu,4.908691903246602,High,Shopping,Monsoon,18-25,Luxury
Leh,,Beach,,,,,,Rajasthan,3.494702743635486,Medium,Beach Activities,Summer,50+,Family
Kedarnath,,Beach,,,,,,Madhya Pradesh,4.463291807839776,Medium,Boating,Winter,26-35,Solo
Agra,,Wildlife,,,,,,Jammu & Kashmir,3.8788964465858404,Medium,Trekking,Any,36-50,Family
Hyderabad,,Hill Statio,,,,,,Goa,3.5956946967200434,High,Photography,Any,26-35,Solo
Varanasi,,Heritage,,,,,,Uttar Pradesh,3.9118318740442275,Low,Trekking,Any,18-25,Family
Jim Corbett,,Wildlife,,,,,,Uttar Pradesh,3.142413435082465,Low,Photography,Any,18-25,Solo
Agra,,Beach,,,,,,Maharashtra,4.597374741860725,Low,Boating,Winter,18-25,Luxury
Manali,,Adventure,,,,,,Madhya Pradesh,3.4866038559659343,High,Photography,Any,50+,Family
Haridwar,,Luxury,,,,,,Himachal Pradesh,4.450824246385941,High,Palace Tour,Winter,36-50,Luxury
Rann of Kutch,,Wildlife,,,,,,Tamil Nadu,3.1366967428963894,Medium,Beach Activities,Winter,18-25,Solo
Kerala,,Religious,,,,,,Maharashtra,4.910197112331372,High,Safari,Any,18-25,Luxury
Mumbai,,Heritage,,,,,,Goa,3.3860299708113972,Medium,Food Tour,Any,18-25,Solo
Chennai,,Luxury,,,,,,West Bengal,4.765484152414161,Medium,Boating,Any,26-35,Luxury
Delhi,,Wildlif,,,,,,Gujarat,4.618946419230869,Low,Photography,Winter,18-25,Family
Goa,,Beach,,,,,,Uttarakhand,4.935719848162832,High,Rafting,Monsoon,26-35,Solo
Gwalior,,Historical,,,,,,Gujarat,3.9557813218914992,Low,Boating,Winter,18-25,Luxury
Darjeeling,,Beach,,,,,,Goa,4.454794587691903,Low,Snowboarding,Monsoon,26-35,Solo
Darjeeling,,Heritage,,,,,,Goa,3.741421314075568,High,Food Tour,Any,50+,Solo
Jaisalmer,,Religious,,,,,,Rajasthan,3.3687364760393876,High,Cultural Tour,Winter,50+,Solo
Hyderabad,,Wildlife,,,,,,Rajasthan,3.8861518658668976,Medium,Food Tour,Any,26-35,Friends
Manali,,Historical,,,,,,Rajasthan,3.3314980307769098,Medium,Hiking,Monsoon,36-50,Solo
Chennai,,Wildlife,,,,,,Rajasthan,4.964089245572768,Medium,Rafting,Monsoon,36-50,Luxury
Kedarnath,,Hill Station,,,,,,Himachal Pradesh,3.1924929822814327,Medium,Shopping,Winter,26-35,Friends
Jaisalmer,,Adventure,,,,,,Tamil Nadu,4.17842344690524,Low,Snowboarding,Winter,50+,Luxury
Rishikesh,,Beach,,,,,,Karnataka,4.252927710508112,Low,Cultural Tour,Winter,26-35,Friends
Jaisalmer,,Wildlife,,,,,,Uttar Pradesh,4.076159085748109,High,Temple Visit,Winter,36-50,Solo
Bangalore,,Wildlife,,,,,,Tamil Nadu,4.324371771423667,Medium,Rafting,Summer,26-35,Family
Hyderabad,,Luxury,,,,,,Madhya Pradesh,3.232361550023782,Medium,Trekking,Summer,50+,Family
Pune,,Luxury,,,,,,Tamil Nadu,4.110037048410582,Medium,Palace Tour,Any,36-50,Solo
Mysore,,Wildlife,,,,,,Uttar Pradesh,3.5744251422547233,Low,Shopping,Monsoon,36-50,Friends
Ajanta Caves,,Religious,,,,,,Rajasthan,4.880352126602113,High,Food Tour,Monsoon,18-25,Luxury
Jaipur,,Adventure,,,,,,Tamil Nadu,4.524143306879451,Low,Temple Visit,Any,18-25,Family
Hyderabad,,Wildlife,,,,,,Gujarat,4.945028964319485,High,Snowboarding,Any,36-50,Solo
Jaisalmer,,Heritage,,,,,,Himachal Pradesh,3.075112139480379,High,Photography,Any,36-50,Solo
Rishikesh,,Beach,,,,,,Rajasthan,3.5702663503614174,Low,Hiking,Summer,26-35,Friends
Manali,,Hill Station,,,,,,Himachal Pradesh,3.390845173276698,Low,Shopping,Any,50+,Family
Goa,,Luxury,,,,,,Maharashtra,3.022309174623661,High,Temple Visit,Monsoon,36-50,Solo
Manali,,Heritage,,,,,,Karnataka,3.4846514604926426,Low,Safari,Any,50+,Family
Amritsar,,Beach,,,,,,Tamil Nadu,4.357551967040858,Low,Beach Activities,Winter,36-50,Luxury
Goa,,Historical,,,,,,Gujarat,3.462177844269137,High,Hiking,Monsoon,50+,Solo
Mount Abu,,Luxury,,,,,,Karnataka,4.018006890965236,High,Hiking,Monsoon,18-25,Solo
Coorg,,Religious,,,,,,Punjab,4.775636229929997,Medium,Photography,Monsoon,36-50,Luxury
Leh,,Luxury,,,,,,Himachal Pradesh,4.387515840698151,Low,Food Tour,Summer,26-35,Solo
Andaman,,Adventure,,,,,,Maharashtra,3.789258139812064,High,Beach Activities,Summer,50+,Friends
Hyderabad,,Adventure,,,,,,Jammu & Kashmir,3.7449378778242166,Low,Trekking,Monsoon,36-50,Luxury
Shimla,,Beach,,,,,,Jammu & Kashmir,3.9114716280169697,Low,Temple Visit,Winter,18-25,Friends
Mount Abu,,Heritage,,,,,,Maharashtra,3.3540828821198128,High,Snowboarding,Monsoon,18-25,Luxury
Darjeeling,,Hill Station,,,,,,West Bengal,4.268001534831976,Medium,Trekking,Summer,18-25,Luxury
Prayagraj,,Religious,,,,,,West Bengal,3.728305638209211,High,Beach Activities,Winter,18-25,Friends
Mysore,,Beach,,,,,,Rajasthan,4.704730698524087,High,Temple Visit,Monsoon,36-50,Luxury
Varanasi,,Historical,,,,,,West Bengal,4.513105320115633,Low,Trekking,Summer,26-35,Family
Mount Abu,,Religious,,,,,,Jammu & Kashmir,4.22102632818432,Medium,Rafting,Winter,50+,Friends
Jaisalmer,,Adventure,,,,,,Gujarat,3.728404445299032,High,Shoppin,Any,26-35,Luxury
Varanasi,,Wildlife,,,,,,West Bengal,3.419863663346969,Low,Boating,Any,50+,Friends
Goa,,Wildlife,,,,,,Punjab,4.552303728211246,High,Hiking,Monsoon,26-35,Luxury
Mysore,,Hill Station,,,,,,Jammu & Kashmir,3.972818197982173,Low,Palace Tour,Any,36-50,Luxury
Haridwar,,Religious,,,,,,Himachal Pradesh,3.449500076354715,High,Cultural Tour,Summer,36-50,Family
Darjeeling,,Beach,,,,,,Goa,3.3903492300800124,Medium,Rafting,Winter,50+,Family
Amritsar,,Hill Station,,,,,,West Bengal,3.3308018090027183,High,Trekking,Monsoon,36-50,Family
Mysore,,Luxury,,,,,,West Bengal,4.55432239241119,Low,Snowboarding,Winter,50+,Luxury
Andaman,,Luxury,,,,,,Madhya Pradesh,3.457974370600623,High,Safari,Winter,26-35,Family
Andaman,,Historical,,,,,,Tamil Nadu,4.053284527050395,Medium,Boating,Winter,36-50,Friends
Hyderabad,,Heritage,,,,,,Uttar Pradesh,3.9030927219461127,Medium,Cultural Tour,Summer,36-50,Luxury
Prayagraj,,Wildlife,,,,,,Madhya Pradesh,4.159221798456568,Medium,Rafting,Monsoon,50+,Friends
Delhi,,Beach,,,,,,Punjab,4.754309800742389,,Safari,Any,50+,Family
Gwalior,,Religious,,,,,,Jammu & Kashmir,4.735494780163461,Low,Safari,Winter,50+,Luxury
Ajanta Caves,,Hill Station,,,,,,Jammu & Kashmir,3.9021521436497193,High,Safari,Winter,50+,Friends
Amritsar,,Beach,,,,,,Karnataka,3.030732501469447,Medium,Boating,Winter,18-25,Solo
Jim Corbett,,Hill Station,,,,,,Uttarakhand,3.8528876114286064,High,Shopping,Summer,50+,Friends
Udaipur,,Hill Station,,,,,,Uttar Pradesh,4.212387074848281,Low,Temple Visit,Any,18-25,Luxury
Goa,,Hill Station,,,,,,West Bengal,4.115529518196124,High,Rafting,Winter,26-35,Solo
Rishikesh,,Religious,,,,,,Maharashtra,4.302672211600411,High,Temple Visit,Summer,50+,Family
Gwalior,,Beach,,,,,,Tamil Nadu,3.308151464946167,Medium,Hiking,Summer,18-25,Family
Rishikesh,,Adventur,,,,,,Karnataka,4.293070197561465,Medium,Food Tour,Winter,18-25,Friends
Kolkata,,Adventure,,,,,,Gujarat,3.3653032374875442,Low,Boating,Winter,18-25,Family
Prayagraj,,Religious,,,,,,Madhya Pradesh,4.501047961393498,High,Safari,Summer,36-50,Friends
Mumbai,,Luxury,,,,,,Karnataka,3.6781752265253598,Low,Safari,Summer,18-25,Friends
Delhi,,Religious,,,,,,Himachal Pradesh,4.4197908667629076,Low,Photography,Winter,50+,Friends
Chennai,,Wildlife,,,,,,Tamil Nadu,3.0957311978122144,Low,Photography,Summer,50+,Friends
Mumbai,,Hill Station,,,,,,West Bengal,3.8157200511818266,Medium,Boating,Summer,50+,Luxury
Hyderabad,,Beach,,,,,,Uttarakhand,4.410069044526665,Medium,Food Tour,Winter,18-25,Luxury
Mussoorie,,Beach,,,,,,Goa,3.4537410326629883,High,Palace Tour,Winter,18-25,Solo
Manali,,Heritage,,,,,,Gujarat,4.590574089594445,High,Snowboarding,Monsoon,36-50,Solo
Bangalore,,Heritage,,,,,,Jammu & Kashmir,4.261559466209864,High,Palace Tour,Any,26-35,Family
Delhi,,Historical,,,,,,Himachal Pradesh,4.175123544299597,Medium,Temple Visit,Winter,36-50,Luxury
Andaman,,Adventure,,,,,,Uttar Pradesh,3.707097708408674,Medium,Boating,Winter,50+,Solo
Rishikesh,,Heritage,,,,,,Gujarat,3.964902940762235,Low,Snowboarding,Winter,50+,Luxury
Jim Corbett,,Heritage,,,,,,West Bengal,4.194698601955706,Medium,Palace Tour,Any,50+,Luxury
Coorg,,Adventure,,,,,,Karnataka,3.944924227829781,Low,Temple Visit,Monsoon,36-50,Family
Hyderabad,,Wildlife,,,,,,Punjab,4.396626647881121,Low,Trekking,Summer,50+,Family
Agra,,Luxury,,,,,,Maharashtra,3.867393866213919,Medium,Beach Activities,Any,50+,Friends
Udaipur,,Adventure,,,,,,Tamil Nadu,3.4045463634840605,Low,Shopping,Winter,50+,Luxury
Goa,,Luxury,,,,,,Uttarakhand,3.4278675656020945,Low,Snowboarding,Winter,18-25,Friends
Hyderabad,,Historical,,,,,,Gujarat,3.011607537685882,High,Cultural Tour,Monsoon,26-35,Friends
Mount Abu,,Heritage,,,,,,Goa,3.601915431117345,Low,Snowboarding,Monsoon,18-25,Friends
Leh,,Beach,,,,,,Rajasthan,4.497835280957039,Medium,Temple Visit,Monsoon,18-25,Luxury
Ooty,,Heritage,,,,,,Karnataka,4.588325417675219,Medium,Hiking,Summer,26-35,Luxury
Hyderabad,,Hill Station,,,,,,Maharashtra,3.4049350841915,Low,Shopping,Any,26-35,Friends
Leh,,Historical,,,,,,West Bengal,4.918087993742816,High,Safari,Any,36-50,Luxury
Hyderabad,,Luxury,,,,,,Madhya Pradesh,4.004805586960254,Medium,Shopping,Monsoon,26-35,Friends
Ajanta Caves,,Luxury,,,,,,Goa,4.833957498037005,Medium,Temple Visit,Summer,36-50,Solo
Prayagraj,,Hill Station,,,,,,Karnataka,4.4135305637232625,High,Shopping,Any,36-50,Luxury
Ooty,,Hill Station,,,,,,Maharashtra,4.444866846044826,,Rafting,Winter,18-25,Family
Rishikesh,,Wildlife,,,,,,Maharashtra,3.1700872426121425,Medium,Hiking,Winter,50+,Family
Goa,,Religious,,,,,,Jammu & Kashmir,3.439982253793861,Low,Safari,Winter,18-25,Friends
Rann of Kutch,,Hill Station,,,,,,Maharashtra,3.0176296665889453,Low,Temple Visit,Any,18-25,Solo
Kerala,,Luxury,,,,,,Punjab,4.432255280953475,Low,Hiking,Monsoon,26-35,Luxury
Haridwar,,Beach,,,,,,Goa,3.68887657685702,Low,Palace Tour,Winter,26-35,Friends
,,Luxury,,,,,,West Bengal,4.573305032152693,Medium,Beach Activities,Monsoon,36-50,Solo
Varanasi,,Luxury,,,,,,West Bengal,3.6778724398740525,High,Temple Visit,Summer,36-50,Solo
Darjeeling,,Wildlife,,,,,,Punjab,4.638667504597722,Medium,Palace Tour,Winter,36-50,Luxury
Agra,,Religious,,,,,,Uttar Pradesh,3.261396507496626,High,Cultural Tour,Summer,26-35,Family
Manali,,Religious,,,,,,Gujarat,3.346746313515016,Low,Rafting,Monsoon,36-50,Family
Jim Corbett,,Hill Station,,,,,,Goa,3.6817530791678728,High,Shopping,Any,36-50,Solo
Sikkim,,Historical,,,,,,Maharashtra,3.8169747777645466,Low,Trekking,Monsoon,26-35,Family
Sikkim,,Heritage,,,,,,Gujarat,,Medium,Shopping,Winter,50+,Solo
Sikkim,,Luxury,,,,,,Uttarakhand,4.52729406504644,Medium,Photography,Winter,18-25,Solo
Ajanta Caves,,Adventure,,,,,,Himachal Pradesh,3.1939027852534294,High,Rafting,Monsoon,26-35,Solo
Rishikesh,,Heritage,,,,,,Goa,3.702434039276976,Low,Safari,Winter,36-50,Family
Prayagraj,,Heritage,,,,,,Rajasthan,4.674479999030918,Low,Hiking,Winter,18-25,Friends
Kerala,,Religious,,,,,,Uttarakhand,3.133594154524344,High,Beach Activities,Summer,26-35,Family
Jim Corbett,,Religious,,,,,,Madhya Pradesh,4.884687015342715,Low,Rafting,Any,18-25,Friends
Amritsar,,Wildlife,,,,,,Punjab,4.972633684544026,Low,Snowboarding,Monsoon,18-25,Family
Kedarnath,,Wildlife,,,,,,Maharashtra,3.17713634765016,Low,Trekking,Summer,50+,Luxury
Shimla,,Religious,,,,,,Uttar Pradesh,3.582545044511474,Medium,Safari,Winter,36-50,Luxury
Bangalore,,Beach,,,,,,Rajasthan,3.744801332070712,Medium,Snowboarding,Summer,26-35,Family
Gwalior,,Beach,,,,,,Uttar Pradesh,4.552782737305452,Medium,Safar,Any,36-50,Luxury
Rishikesh,,Adventure,,,,,,Uttar Pradesh,4.191853624233468,Low,Snowboarding,Monsoon,50+,Luxury
Shimla,,Religious,,,,,,Tamil Nadu,4.288731400985135,Medium,Food Tour,Any,50+,Luxury
Delhi,,Hill Station,,,,,,Karnataka,4.515019645637012,Low,Beach Activities,Any,26-35,Luxury
Kolkata,,Wildlife,,,,,,Karnataka,3.2359579988740514,Low,,Summer,26-35,Friends
Mussoorie,,Religious,,,,,,Jammu & Kashmir,4.666418913820525,High,Shopping,Summer,50+,Solo
Shimla,,Beach,,,,,,Rajasthan,4.4112396083602885,Low,Rafting,Any,26-35,Friends
Bangalore,,Religious,,,,,,Himachal Pradesh,4.15468345039274,Medium,Cultural Tour,Winter,18-25,Solo
Andaman,,Beach,,,,,,Jammu & Kashmir,4.7794706695661135,Medium,Snowboarding,Monsoon,18-25,Solo
Manali,,Religiou,,,,,,Rajasthan,4.400612707767614,Low,Food Tour,Winter,50+,Family
Shimla,,Luxury,,,,,,Uttar Pradesh,3.403399925262051,Medium,Beach Activities,Winter,36-50,Family
Jaisalmer,,Hill Station,,,,,,Madhya Pradesh,3.8594907621513332,Low,Cultural Tour,Monsoon,26-35,Family
Kolkata,,Historical,,,,,,Madhya Pradesh,3.9880857338714666,High,Photography,Summer,26-35,Family
Amritsar,,Adventure,,,,,,Jammu & Kashmir,3.1104352535008113,Low,Rafting,Winter,18-25,Family
Ooty,,Luxury,,,,,,Rajasthan,4.9092750267201115,Low,Food Tour,Summer,26-35,Friends
Udaipur,,Hill Station,,,,,,Himachal Pradesh,3.257154521593757,High,Cultural Tour,Monsoon,36-50,Friends
Ooty,,Beach,,,,,,Gujarat,4.394922534453453,Medium,,Winter,26-35,Luxury
Rishikesh,,Wildlife,,,,,,Uttarakhand,4.01246207218176,High,Boating,Summer,26-35,Friends
Kolkata,,Wildlife,,,,,,Gujarat,3.051264499768845,High,Shopping,Summer,18-25,Friends
Kerala,,Heritage,,,,,,Goa,4.849494951728723,Low,Safari,Winter,26-35,Family
Ajanta Caves,,Hill Station,,,,,,Gujarat,4.703673617637866,Low,Safari,Monsoon,50+,Luxury
Bangalore,,Religious,,,,,,Gujarat,4.048515855807671,High,Temple Visit,Any,50+,Friends
Jaipur,,Adventure,,,,,,Madhya Pradesh,3.4578846722788903,Medium,Photography,Summer,36-50,Friends
Coorg,,Religious,,,,,,Maharashtra,3.2432457813601885,High,Trekking,Monsoon,36-50,Luxury
Prayagraj,,Religious,,,,,,Gujarat,3.726784958864253,Medium,Shopping,,36-50,Solo
Jim Corbett,,Hill Station,,,,,,Rajasthan,3.510856562092181,High,Boating,Summer,36-50,Family
Delhi,,Historical,,,,,,Himachal Pradesh,4.013382402012597,High,Temple Visit,Summer,18-25,Friends
Andaman,,Adventure,,,,,,Madhya Pradesh,4.932818592246858,Medium,Cultural Tour,Summer,26-35,Friends
Darjeeling,,Heritage,,,,,,Goa,4.149906986459283,High,Temple Visit,Monsoon,18-25,Luxury
Hyderabad,,Luxury,,,,,,Jammu & Kashmir,4.779862111780195,Low,Snowboarding,Summer,36-50,Friends
Mussoorie,,Religious,,,,,,Rajasthan,4.3017576749915545,High,Trekking,Summer,26-35,Family
Mussoorie,,Adventure,,,,,,Rajasthan,3.9504930531744007,Low,Food Tour,Winter,50+,Friends
Leh,,Heritage,,,,,,Punjab,4.709215125466742,Medium,Food Tour,Summer,18-25,Solo
Pune,,Luxury,,,,,,Rajasthan,3.942736220345995,Medium,Boating,Monsoon,26-35,Family
Leh,,Religious,,,,,,Maharashtra,4.737256341020722,Low,Rafting,Winter,50+,Solo
Andaman,,Adventure,,,,,,Karnataka,3.583153539151531,High,Hiking,Any,50+,Luxury
Hyderabad,,Luxury,,,,,,Punjab,3.2576261475259765,Low,Shopping,Winter,36-50,Family
Prayagraj,,Hill Station,,,,,,Goa,4.7106289287258765,Low,Food Tour,Summer,50+,Friends
Coorg,,Historical,,,,,,Jammu & Kashmir,4.174830327585333,Medium,Trekking,Any,,Family
Kolkata,,Wildlife,,,,,,Karnataka,4.7781847964979205,Low,Beach Activities,Winter,36-50,Family
,,Wildlife,,,,,,Madhya Pradesh,4.875654413984766,High,Safari,Summer,26-35,Family
Haridwar,,Religious,,,,,,Jammu & Kashmir,3.1072567807428983,Low,Beach Activities,Winter,26-35,Solo
Darjeeling,,Religious,,,,,,West Bengal,4.001938603717736,Medium,Temple Visit,Monsoon,36-50,Luxury
Rishikesh,,Luxury,,,,,,West Bengal,3.7499290981490585,High,Palace Tour,Summer,18-25,Family
Mumbai,,Adventure,,,,,,Goa,4.2517167941402345,Medium,Snowboarding,Monsoon,36-50,Friends
Shimla,,Wildlife,,,,,,Tamil Nadu,4.587182394404647,Low,Palace Tour,Summer,26-35,Family
Mysore,,Religious,,,,,,Himachal Pradesh,3.561180431948738,Low,Trekking,Monsoon,18-25,Family
Udaipur,,Heritage,,,,,,Madhya Pradesh,4.113596768746343,Medium,Palace Tour,Any,36-50,Luxury
Bangalore,,Religious,,,,,,Madhya Pradesh,4.417457159809799,Medium,Beach Activities,Monsoon,26-35,Friends
