Destination,State/Region,Category,Best Season to Visit,Popular Activities,Average Budget,Visitor Ratings,Number of Reviews,State,Rating,Budget_Level,Preferred_Activity,Season_Preference,User_Age_Group,Preferred_Travel_Type
Sikkim,Sikkim,Heritage,Winter,Wildlife Safari,meduim,4.3,25.0,,,,,,,
Mysore,Karnataka,Heritage,Winter,Wildlife Safari,High,1.8,160.0,,,,,,,
Ladakh,Rajasthan,Wildlife,Summer,Relaxation,Medium,4.7,433.0,,,,,,,
Mysore,Andaman & Nicobar,Hll Station,Monsoon,Relaxation,Low,3.2,263.0,,,,,,,
Mysore,Rajasthan,Spiritual,Winter,Sightseeing,High,2.2,197.0,,,,,,,
Hampi,Uttarakhand,Adventure,Monsoon,Water Sports,Medium,2.7,338.0,,,,,,,
Varanasi,Andaman & Nicobar,Wildlife,Summer,Water Sports,High,2.2,41.0,,,,,,,
,Rajasthan,Heritage,Summer,Relaxation,Medium,3.9,280.0,,,,,,,
Varanasi,Karnataka,Beach,Winter,Wildlife Safari,High,4.2,494.0,,,,,,,
Sikkim,Himachal Pradesh,Adventure,Winter,Relaxation,Low,4.3,406.0,,,,,,,
Shillong,Uttar Pradesh,Hll Station,All Year,Wildlife Safari,Low,4.9,14.0,,,,,,,
Rajasthan,Karnataka,Spiritual,Monsoon,Wildlife Safari,High,4.2,468.0,,,,,,,
Agra,West Bengal,Adventure,Winter,Relaxation,Medium,3.4,339.0,,,,,,,
Pondicherry,Puducherry,Adventure,All Year,Trekking,High,2.4,317.0,,,,,,,
Jaisalmer,Andaman & Nicobar,Hill Station,Monsoon,Water Sports,Medium,3.2,342.0,,,,,,,
Ranthambore,Uttar Pradesh,Spiritual,Winter,Cultural Tour,High,1.2,178.0,,,,,,,
Rishikesh,Himachal Pradesh,Spiritual,All Year,Wildlife Safari,Medium,4.0,190.0,,,,,,,
Kolkata,Uttar Pradesh,Wildlife,All Year,Wildlife Safari,Low,2.8,375.0,,,,,,,
Varanasi,Delhi,Adventure,Monsoon,Trekking,High,6.098679818161949,187.0,,,,,,,
Delhi,Uttar Pradesh,Spiritual,All Year,Cultural Tour,Low,1.3,152.0,,,,,,,
Rajasthan,Delhi,Adventure,Monsoon,Sightseeing,Low,2.5,371.0,,,,,,,
Hampi,Goa,Wildlife,Monsoon,Trekking,High,7.627593725562511,257.0,,,,,,,
Andaman,Uttar Pradesh,Wildlife,Monsoon,Cultural Tour,High,2.9,136.0,,,,,,,
Andaman,Rajasthan,Hill Station,Summer,Trekking,Medium,3.5,272.0,,,,,,,
Ooty,Himachal Pradesh,Adventure,All Year,Wildlife Safari,Medium,2.9,49.0,,,,,,,
Chennai,Punjab,Spiritual,Monsoon,Water Sports,Low,3.6,421.0,,,,,,,
Kedarnath,Rajasthan,Spiritual,Winter,Trekking,meduim,1.9,425.0,,,,,,,
,Rajasthan,Adventure,Summer,Sightseeing,Medium,1.5,364.0,,,,,,,
Udaipur,Uttarakhand,Adventure,Summer,Relaxation,High,3.4,264.0,,,,,,,
,Rajasthan,Adventure,All Year,Cultural Tour,Medium,2.9,152.0,,,,,,,
Delhi,Puducherry,Heritage,Monsoon,Trekking,Low,1.1,249.0,,,,,,,
Kolkata,Sikkim,Hll Station,All Year,Trekking,Medium,2.5,237.0,,,,,,,
Delhi,Puducherry,Wildlife,Summer,Sightseeing,Low,1.4,350.0,,,,,,,
Varanasi,Uttar Pradesh,Spiritual,Monsoon,Water Sports,High,3.1,207.0,,,,,,,
Darjeeling,Uttarakhand,Heritage,Winter,Trekking,Low,2.6,74.0,,,,,,,
Shimla,Punjab,Adventure,Monsoon,Trekking,Medium,3.5,397.0,,,,,,,
Ranthambore,Uttarakhand,Hill Station,Summer,Water Sports,High,4.2,20.0,,,,,,,
,Goa,Adventure,Winter,Sightseeing,Medium,2.2,117.0,,,,,,,
Shillong,Puducherry,Adventure,Monsoon,Cultural Tour,High,4.8,35.0,,,,,,,
Amritsar,Tamil Nadu,Heritage,Winter,Cultural Tour,High,3.1,454.0,,,,,,,
Agra,Uttarakhand,Spiritual,Winter,Trekking,Medium,3.5,430.0,,,,,,,
Varanasi,Karnataka,Adventure,Summer,Water Sports,Medium,3.7,160.0,,,,,,,
Varanasi,Rajasthan,Spiritual,Winter,Trekking,High,3.7,230.0,,,,,,,
Sikkim,Rajasthan,Beach,All Year,Relaxation,High,6.401830198723873,350.0,,,,,,,
,Uttarakhand,Wildlife,Summer,Cultural Tour,Medium,2.7,246.0,,,,,,,
,Puducherry,Spiritual,All Year,Wildlife Safari,Low,1.2,246.0,,,,,,,
Ooty,Karnataka,Hill Station,Winter,Relaxation,Medium,1.1,228.0,,,,,,,
Chennai,Uttarakhand,Wildlife,All Year,Trekking,meduim,2.4,496.0,,,,,,,
Varanasi,Rajasthan,Hill Station,Monsoon,Sightseeing,Medium,2.3,433.0,,,,,,,
,Uttarakhand,Adventure,Winter,Cultural Tour,Low,2.6,470.0,,,,,,,
Kedarnath,Uttarakhand,Wildlife,Monsoon,Wildlife Safari,Medium,1.6,160.0,,,,,,,
Jaisalmer,Rajasthan,Spiritual,All Year,Relaxation,High,4.0,132.0,,,,,,,
Haridwar,Rajasthan,Wildlife,Monsoon,Cultural Tour,Medium,4.4,153.0,,,,,,,
Hampi,Kerala,Adventure,Winter,Water Sports,High,4.8,487.0,,,,,,,
Prayagraj,Tamil Nadu,Heritage,Monsoon,Sightseeing,High,3.0,198.0,,,,,,,
Shimla,Sikkim,Hill Station,All Year,Relaxation,Medium,3.8,264.0,,,,,,,
Kedarnath,Kerala,Adventure,All Year,Water Sports,High,4.4,77.0,,,,,,,
Darjeeling,Delhi,Heritage,All Year,Trekking,High,2.7,113.0,,,,,,,
Agra,Andaman & Nicobar,Wildlife,Winter,Water Sports,meduim,2.2,345.0,,,,,,,
Udaipur,Karnataka,Wildlife,All Year,Relaxation,Low,4.7,168.0,,,,,,,
Varanasi,Uttar Pradesh,Adventure,Winter,Relaxation,Low,3.1,318.0,,,,,,,
Rishikesh,,Adventure,,,,,,Uttarakhand,3.8651639251481162,High,Rafting,Summer,18-25,Friends
Prayagraj,,Religious,,,,,,Uttar Pradesh,4.763290596309671,Medium,Spiritual Tour,Summer,26-35,Family
Varanasi,,Religious,,,,,,Uttar Pradesh,,Medium,Temple Visit,Winter,36-50,Solo
Mussoorie,,Hill Station,,,,,,Uttarakhand,3.6087834754317223,Medium,Trekking,Winter,36-50,Family
Udaipur,,Heritage,,,,,,Rajasthan,4.554920081063376,Medium,Cultural Tour,Any,50+,Family
Jaisalmer,,Desert,,,,,,Rajasthan,4.103789533235213,Ultra High,Desert Safari,Monsoon,50+,Luxury
Amritsar,,Religious,,,,,,Punjab,4.880060078818856,Low,Golden Temple Visit,Monsoon,36-50,Family
Jaipur,,Heritae,,,,,,Rajasthan,4.475382606640492,Low,Palace Tour,Monsoon,26-35,Family
Shimla,,Hill Station,,,,,,Himachal Pradesh,3.635628466687491,High,Snow Activities,Winter,36-50,Luxury
Darjeeling,,Hill Station,,,,,,West Bengal,4.921784850880491,Low,Tea Garden Visit,Summer,50+,Luxury
