Budget_Level,User_Age_Group,Destination,State,Category,Rating,Preferred_Activity,Season_Preference,Preferred_Travel_Type
High,50+,Sikkim,Sikkim,Urban,1.7,Trekking,Autumn,Friends
,26-35,Delhi,Delhi,Hill Station,4.5,Wildlife,Monsoon,Group
Low,26-35,Mussoorie,Uttarakhand,Urban,3.5,Trekking,Autumn,Family
Medium,36-50,Rishikesh,Uttarakhand,Heritage,3.8,Trekking,Spring,Friends
Low,18-25,Hyderabad,Telangana,Urban,2.6,Wildlife,Spring,Family
Medium,26-35,Mumbai,Maharashtra,Hill Station,2.8,Sightseeing,Winter,Solo
Medium,50+,Varanasi,Uttar Pradesh,Beach,1.8,Wildlife,Winter,Family
High,50+,Jaipur,Rajasthan,Adventure,4.5,Trekking,Summer,Family
Low,36-50,Udaipur,Rajasthan,Heritage,3.6,Relaxation,Autumn,Friends
High,18-25,Shimla,Himachal Pradesh,Hill Station,1.8,Pilgrimage,Winter,Family
High,26-35,Goa,Goa,Spiritual,4.3,Pilgrimage,Summer,Family
Low,26-35,Hyderabad,Telangana,Heritage,3.1,Water Sports,Winter,Family
Medium,26-35,Leh,Ladakh,Beach,4.2,Relaxation,Summer,Family
Low,26-35,Mussoorie,Uttarakhand,Urban,1.5,Trekking,Winter,Friends
Medium,36-50,Rishikesh,Uttarakhand,Spiritual,1.6,Relaxation,Autumn,Friends
Low,26-35,Delhi,Delhi,Hill Station,2.1,Water Sports,Summer,Friends
Low,36-50,Chennai,Tamil Nadu,Urban,2.2,Wildlife,Winter,Group
,50+,Kolkata,West Bengal,Beach,4.2,Relaxation,Monsoon,Group
High,18-25,Udaipur,Rajasthan,Urban,4.0,Trekking,Monsoon,Friends
Medium,18-25,Kolkata,West Bengal,Hill Station,3.7,Sightseeing,Summer,Couple
Medium,50+,Hyderabad,Telangana,Urban,4.6,Sightseeing,Spring,Friends
Medium,26-35,Jaipur,Rajasthan,Spiritual,2.4,Water Sports,Monsoon,Solo
High,26-35,Jaipur,Rajasthan,Hill Station,4.7,Trekking,Spring,Solo
Medium,18-25,Udaipur,Rajasthan,Adventure,4.7,Water Sports,Monsoon,Family
Medium,18-25,Agra,Uttar Pradesh,Beach,3.0,Wildlife,Summer,Couple
Low,18-25,Kolkata,West Bengal,Beach,1.8,Water Sports,Monsoon,Friends
Medium,36-50,Udaipur,Rajasthan,Urban,4.0,Sightseeing,Winter,Group
Low,26-35,Shimla,Himachal Pradesh,Adventure,2.7,Water Sports,Autumn,Solo
Low,50+,Bangalore,Karnataka,Heritage,4.3,Wildlife,Summer,Family
Low,36-50,Darjeeling,West Bengal,Hill Station,2.1,Wildlife,Monsoon,Friends
Medium,26-35,Bangalore,Karnataka,Beach,3.4,Trekking,Autumn,Family
Medium,18-25,Agra,Uttar Pradesh,Heritage,3.3,Pilgrimage,Spring,Family
Low,26-35,Mussoorie,Uttarakhand,Beach,1.9,Wildlife,Monsoon,Couple
Low,36-50,Delhi,Delhi,Urban,2.8,Trekking,Summer,Couple
Medium,50+,Sikkim,Sikkim,Spiritual,1.8,Pilgrimage,Summer,Couple
Low,36-50,Mumbai,Maharashtra,Adventure,3.1,Sightseeing,Winter,Couple
Medium,18-25,Leh,Ladakh,Heritage,4.5,Wildlife,Autumn,Solo
High,26-35,Manali,Himachal Pradesh,Spiritual,2.4,Trekking,Autumn,Couple
High,18-25,Rishikesh,Uttarakhand,Urban,4.2,Trekking,Spring,Friends
Low,18-25,Bangalore,Karnataka,Beach,2.1,Sightseeing,Autumn,Family
Medium,50+,Andaman,Andaman & Nicobar,Beach,3.9,Sightseeing,Winter,Family
High,50+,Ooty,Tamil Nadu,Spiritual,4.7,Pilgrimage,Autumn,Friends
Low,50+,Varanasi,Uttar Pradesh,Beach,2.6,Water Sports,Autumn,Family
Medium,18-25,Leh,Ladakh,Beach,4.7,Water Sports,Summer,Couple
Low,50+,Rishikesh,Uttarakhand,Beach,3.3,Pilgrimage,Spring,Group
Low,50+,Sikkim,Sikkim,Urban,2.6,Sightseeing,Summer,Friends
Medium,36-50,Leh,Ladakh,Hill Station,4.6,Pilgrimage,Summer,Friends
Low,18-25,Shimla,Himachal Pradesh,Spiritual,1.6,Pilgrimage,Summer,Solo
Medium,26-35,Sikkim,Sikkim,Spiritual,1.6,Pilgrimage,Summer,Solo
High,36-50,Delhi,Delhi,Urban,3.6,Sightseeing,Winter,Group
Medium,18-25,Udaipur,Rajasthan,Spiritual,4.3,Sightseeing,Monsoon,Family
Medium,18-25,Darjeeling,West Bengal,Hill Station,4.1,Trekking,Summer,Family
Low,50+,Kolkata,West Bengal,Beach,1.8,Trekking,Autumn,Group
High,18-25,Sikkim,Sikkim,Heritage,4.8,Sightseeing,Spring,Friends
Low,18-25,Delhi,Delhi,Heritage,4.0,Sightseeing,Monsoon,Couple
High,36-50,Manali,Himachal Pradesh,Heritage,4.8,Sightseeing,Spring,Couple
Low,18-25,Mumbai,Maharashtra,Spiritual,2.7,Trekking,Autumn,Couple
High,36-50,Bangalore,Karnataka,Adventure,3.9,Wildlife,Summer,Couple
Medium,18-25,Udaipur,Rajasthan,Heritage,4.5,Water Sports,Spring,Family
High,50+,Leh,Ladakh,Adventure,2.8,Sightseeing,Winter,Solo
Low,26-35,Rishikesh,Uttarakhand,Heritage,4.9,Trekking,Winter,Family
Low,50+,Sikkim,Sikkim,Spiritual,2.4,Wildlife,Autumn,Friends
Low,36-50,Kerala,Kerala,Urban,2.6,Trekking,Summer,Group
Low,36-50,Udaipur,Rajasthan,Urban,4.7,Wildlife,Autumn,Family
Low,50+,Mumbai,Maharashtra,Beach,4.9,Sightseeing,Summer,Friends
Medium,50+,Shimla,Himachal Pradesh,Hill Station,2.5,Pilgrimage,Summer,Friends
Low,26-35,Darjeeling,West Bengal,Adventure,2.0,Trekking,Autumn,Family
Medium,50+,Hyderabad,Telangana,Beach,4.2,Trekking,Summer,Friends
High,,Udaipur,Rajasthan,Adventure,4.8,Wildlife,Summer,Solo
Medium,26-35,Goa,Goa,Beach,3.6,Relaxation,Winter,Group
Medium,36-50,Darjeeling,West Bengal,Hill Station,3.7,Sightseeing,Autumn,Family
Medium,36-50,Mussoorie,Uttarakhand,Spiritual,4.2,Relaxation,Autumn,Solo
High,26-35,Chennai,Tamil Nadu,Urban,2.0,Relaxation,Summer,Friends
Medium,18-25,Darjeeling,West Bengal,Urban,4.9,Trekking,Summer,Couple
Low,18-25,Udaipur,Rajasthan,Beach,2.8,Wildlife,Autumn,Family
Low,26-35,Kolkata,West Bengal,Hill Station,3.7,Wildlife,Winter,Friends
Low,26-35,Leh,Ladakh,Spiritual,3.1,Water Sports,Summer,Friends
Low,26-35,Mysore,Karnataka,Beach,3.1,Pilgrimage,Winter,Solo
High,36-50,Udaipur,Rajasthan,Hill Station,4.0,Wildlife,Autumn,Group
High,18-25,Andaman,Andaman & Nicobar,Urban,5.0,Water Sports,Winter,Friends
High,18-25,Leh,Ladakh,Hill Station,3.8,Sightseeing,Winter,Group
Medium,50+,Kolkata,West Bengal,Urban,4.3,Relaxation,Autumn,Friends
High,50+,Varanasi,Uttar Pradesh,Hill Station,1.6,Water Sports,Autumn,Family
Low,26-35,Bangalore,Karnataka,Urban,4.3,Sightseeing,Summer,Friends
Low,26-35,Delhi,Delhi,Urban,2.5,Wildlife,Autumn,Family
Low,36-50,Darjeeling,West Bengal,Spiritual,1.9,Wildlife,Spring,Group
Low,18-25,Bangalore,Karnataka,Adventure,1.9,Water Sports,Autumn,Friends
Medium,50+,Kolkata,West Bengal,Hill Station,3.9,Sightseeing,Autumn,Solo
Low,18-25,Mussoorie,Uttarakhand,Hill Station,5.0,Relaxation,Autumn,Family
High,50+,Delhi,Delhi,Heritage,3.8,Water Sports,Spring,Solo
High,50+,Mumbai,Maharashtra,Adventure,2.4,Wildlife,Winter,Solo
Medium,50+,Andaman,Andaman & Nicobar,Adventure,2.2,Trekking,Winter,Group
Low,50+,Sikkim,Sikkim,Urban,3.3,Relaxation,Summer,Friends
High,18-25,Kerala,Kerala,Spiritual,1.7,Relaxation,Autumn,Friends
,18-25,Ooty,Tamil Nadu,Adventure,2.9,Relaxation,Monsoon,Group
Medium,36-50,Delhi,Delhi,Hill Station,3.8,Trekking,Autumn,Family
Low,26-35,Chennai,Tamil Nadu,Heritage,4.9,Wildlife,Autumn,Family
Low,36-50,Delhi,Delhi,Adventure,3.0,Trekking,Autumn,Solo
Medium,26-35,Jaipur,Rajasthan,Beach,2.2,Trekking,Spring,Friends
Low,18-25,Mussoorie,Uttarakhand,Beach,4.4,Sightseeing,Summer,Group
Medium,50+,Rishikesh,Uttarakhand,Adventure,4.1,Pilgrimage,Spring,Couple
Medium,26-35,Ooty,Tamil Nadu,Spiritual,4.5,Pilgrimage,Monsoon,Group
Low,18-25,Varanasi,Uttar Pradesh,Adventure,2.3,Trekking,Summer,Couple
Medium,50+,Kolkata,West Bengal,Urban,2.9,Wildlife,Summer,Solo
High,50+,Kolkata,West Bengal,Hill Station,4.9,Sightseeing,Spring,Friends
High,18-25,Udaipur,Rajasthan,Urban,2.1,Pilgrimage,Monsoon,Couple
Medium,50+,Manali,Himachal Pradesh,Spiritual,3.9,Trekking,Summer,Group
High,26-35,Mumbai,Maharashtra,Hill Station,2.3,Wildlife,Winter,Friends
Medium,50+,Delhi,Delhi,Urban,3.3,Sightseeing,Monsoon,Couple
Low,18-25,Kerala,Kerala,Urban,4.3,Trekking,Summer,Solo
Low,36-50,Mussoorie,Uttarakhand,Hill Station,3.2,Wildlife,Winter,Couple
Medium,26-35,Kolkata,West Bengal,Beach,4.3,Sightseeing,Monsoon,Family
Low,18-25,Manali,Himachal Pradesh,Beach,3.0,Wildlife,Monsoon,Solo
Medium,18-25,Bangalore,Karnataka,Urban,5.0,Trekking,Summer,Friends
High,26-35,Andaman,Andaman & Nicobar,Beach,3.0,Relaxation,Winter,Friends
High,36-50,Goa,Goa,Heritage,2.0,Pilgrimage,Autumn,Group
Low,50+,Mysore,Karnataka,Hill Station,2.9,Sightseeing,Autumn,Solo
Low,18-25,Chennai,Tamil Nadu,Urban,4.1,Pilgrimage,Spring,Solo
Medium,50+,Rishikesh,Uttarakhand,Hill Station,4.5,Sightseeing,Monsoon,Couple
High,18-25,Agra,Uttar Pradesh,Spiritual,3.1,Pilgrimage,Spring,Couple
High,36-50,Varanasi,Uttar Pradesh,Urban,3.6,Relaxation,Autumn,Solo
High,18-25,Rishikesh,Uttarakhand,Heritage,4.5,Pilgrimage,Autumn,Couple
High,50+,Rishikesh,Uttarakhand,Urban,4.3,Sightseeing,Winter,Couple
High,50+,Mussoorie,Uttarakhand,Spiritual,3.8,Water Sports,Autumn,Family
High,26-35,Jaipur,Rajasthan,Hill Station,4.4,Sightseeing,Monsoon,Couple
High,36-50,Jaipur,Rajasthan,Beach,3.5,Wildlife,Autumn,Group
Medium,50+,Ooty,Tamil Nadu,Adventure,1.5,Water Sports,Spring,Friends
High,36-50,Goa,Goa,Adventure,1.6,Relaxation,Winter,Friends
Low,50+,Mysore,Karnataka,Heritage,4.9,Pilgrimage,Spring,Solo
Medium,36-50,Mussoorie,Uttarakhand,Adventure,2.0,Wildlife,Spring,Friends
High,50+,Varanasi,Uttar Pradesh,Heritage,2.9,Pilgrimage,Monsoon,Solo
High,26-35,Agra,Uttar Pradesh,Beach,4.8,Sightseeing,Winter,Solo
Medium,18-25,Mysore,Karnataka,Beach,2.2,Relaxation,Monsoon,Solo
Medium,36-50,Mumbai,Maharashtra,Hill Station,4.5,Wildlife,Spring,Solo
High,26-35,Ooty,Tamil Nadu,Urban,4.4,Trekking,Autumn,Solo
High,50+,Varanasi,Uttar Pradesh,Beach,5.0,Wildlife,Autumn,Friends
High,50+,Jaipur,Rajasthan,Heritage,2.5,Sightseeing,Summer,Friends
Low,,Ooty,Tamil Nadu,Beach,2.6,Relaxation,Autumn,Solo
Low,26-35,Rishikesh,Uttarakhand,Spiritual,4.7,Sightseeing,Winter,Group
Medium,18-25,Kerala,Kerala,Urban,2.3,Trekking,Autumn,Family
,26-35,Darjeeling,West Bengal,Urban,3.4,Water Sports,Autumn,Friends
Low,26-35,Kolkata,West Bengal,Heritage,4.0,Trekking,Summer,Solo
,18-25,Goa,Goa,Hill Station,2.5,Relaxation,Winter,Couple
Low,50+,Ooty,Tamil Nadu,Adventure,4.8,Trekking,Summer,Solo
Low,50+,Mysore,Karnataka,Adventure,3.8,Relaxation,Winter,Friends
Low,50+,Mysore,Karnataka,Urban,1.7,Trekking,Autumn,Friends
Low,36-50,Andaman,Andaman & Nicobar,Adventure,2.0,Water Sports,Spring,Group
Low,50+,Bangalore,Karnataka,Heritage,2.2,Water Sports,Winter,Couple
Medium,26-35,Darjeeling,West Bengal,Beach,2.4,Pilgrimage,Monsoon,Family
Low,26-35,Sikkim,Sikkim,Spiritual,4.1,Relaxation,Spring,Solo
Medium,26-35,Manali,Himachal Pradesh,Beach,1.8,Trekking,Monsoon,Couple
Low,26-35,Goa,Goa,Spiritual,2.7,Wildlife,Winter,Friends
Low,,Darjeeling,West Bengal,Beach,4.7,Sightseeing,Summer,Friends
Medium,18-25,Mumbai,Maharashtra,Heritage,3.4,Wildlife,Winter,Friends
High,36-50,Rishikesh,Uttarakhand,Adventure,2.4,Wildlife,Winter,Family
Medium,18-25,Manali,Himachal Pradesh,Beach,4.8,Sightseeing,Monsoon,Couple
High,18-25,Mysore,Karnataka,Urban,2.4,Wildlife,Monsoon,Family
Medium,26-35,Goa,Goa,Beach,4.7,Relaxation,Summer,Family
High,36-50,Sikkim,Sikkim,Adventure,4.0,Sightseeing,Monsoon,Group
Medium,18-25,Varanasi,Uttar Pradesh,Beach,4.1,Wildlife,Monsoon,Couple
High,26-35,Kerala,Kerala,Beach,4.2,Relaxation,Monsoon,Couple
Medium,36-50,Agra,Uttar Pradesh,Adventure,3.3,Relaxation,Monsoon,Family
High,36-50,Mussoorie,Uttarakhand,Heritage,4.4,Water Sports,Autumn,Family
Low,50+,Mussoorie,Uttarakhand,Hill Station,4.4,Water Sports,Winter,Family
High,18-25,Mysore,Karnataka,Spiritual,2.8,Pilgrimage,Autumn,Couple
High,26-35,Kerala,Kerala,Spiritual,2.9,Relaxation,Monsoon,Family
,50+,Mysore,Karnataka,Hill Station,4.6,Trekking,Summer,Couple
High,18-25,Goa,Goa,Urban,3.3,Pilgrimage,Autumn,Friends
Low,50+,Ooty,Tamil Nadu,Beach,4.5,Trekking,Spring,Friends
High,50+,Varanasi,Uttar Pradesh,Beach,3.7,Pilgrimage,Winter,Group
Medium,26-35,Mussoorie,Uttarakhand,Heritage,3.6,Trekking,Spring,Family
High,50+,Andaman,Andaman & Nicobar,Hill Station,1.6,Relaxation,Spring,Family
High,36-50,Mussoorie,Uttarakhand,Adventure,2.5,Trekking,Winter,Couple
Medium,36-50,Mussoorie,Uttarakhand,Hill Station,3.3,Wildlife,Spring,Solo
Low,50+,Mumbai,Maharashtra,Spiritual,3.6,Trekking,Autumn,Solo
High,18-25,Manali,Himachal Pradesh,Spiritual,3.7,Water Sports,Winter,Group
Low,18-25,Jaipur,Rajasthan,Beach,4.0,Trekking,Autumn,Group
High,26-35,Ooty,Tamil Nadu,Hill Station,3.8,Relaxation,Spring,Family
Medium,50+,Shimla,Himachal Pradesh,Adventure,4.5,Wildlife,Monsoon,Group
High,26-35,Andaman,Andaman & Nicobar,Urban,2.5,Water Sports,Autumn,Couple
High,50+,Shimla,Himachal Pradesh,Urban,3.7,Pilgrimage,Autumn,Couple
Low,18-25,Goa,Goa,Urban,1.7,Pilgrimage,Autumn,Couple
Medium,50+,Mysore,Karnataka,Beach,3.2,Water Sports,Autumn,Group
Medium,,Jaipur,Rajasthan,Beach,2.4,Relaxation,Autumn,Solo
Medium,18-25,Rishikesh,Uttarakhand,Spiritual,2.8,Pilgrimage,Autumn,Solo
High,36-50,Udaipur,Rajasthan,Spiritual,2.7,Pilgrimage,Summer,Group
High,26-35,Ooty,Tamil Nadu,Urban,1.7,Water Sports,Winter,Group
Medium,26-35,Kerala,Kerala,Spiritual,3.1,Relaxation,Monsoon,Friends
Low,18-25,Agra,Uttar Pradesh,Beach,5.0,Relaxation,Summer,Family
Low,50+,Leh,Ladakh,Urban,2.5,Sightseeing,Winter,Solo
Medium,26-35,Leh,Ladakh,Heritage,4.1,Trekking,Spring,Solo
,36-50,Bangalore,Karnataka,Heritage,3.4,Wildlife,Autumn,Couple
High,36-50,Mussoorie,Uttarakhand,Hill Station,2.6,Water Sports,Monsoon,Friends
Low,36-50,Chennai,Tamil Nadu,Hill Station,1.8,Pilgrimage,Autumn,Family
Medium,26-35,Bangalore,Karnataka,Heritage,2.3,Relaxation,Spring,Couple
Medium,18-25,Andaman,Andaman & Nicobar,Hill Station,4.2,Trekking,Monsoon,Couple
Medium,50+,Goa,Goa,Hill Station,2.5,Wildlife,Summer,Family
High,50+,Rishikesh,Uttarakhand,Spiritual,2.0,Sightseeing,Spring,Family
High,50+,Jaipur,Rajasthan,Adventure,2.7,Wildlife,Summer,Group
Low,26-35,Shimla,Himachal Pradesh,Heritage,3.5,Water Sports,Monsoon,Family
High,18-25,Bangalore,Karnataka,Adventure,4.0,Pilgrimage,Autumn,Friends
Medium,36-50,Jaipur,Rajasthan,Beach,2.9,Water Sports,Summer,Family
Medium,50+,Udaipur,Rajasthan,Adventure,3.2,Pilgrimage,Autumn,Family
Low,26-35,Delhi,Delhi,Urban,3.1,Sightseeing,Monsoon,Group
,36-50,Mussoorie,Uttarakhand,Heritage,1.5,Trekking,Winter,Group
Low,36-50,Bangalore,Karnataka,Spiritual,2.9,Wildlife,Autumn,Solo
Low,18-25,Varanasi,Uttar Pradesh,Spiritual,3.6,Trekking,Summer,Friends
High,36-50,Agra,Uttar Pradesh,Urban,3.5,Trekking,Autumn,Group
Medium,50+,Rishikesh,Uttarakhand,Urban,4.1,Trekking,Monsoon,Solo
Medium,26-35,Bangalore,Karnataka,Hill Station,3.8,Pilgrimage,Spring,Friends
Medium,18-25,Delhi,Delhi,Beach,2.5,Sightseeing,Spring,Friends
Low,18-25,Mumbai,Maharashtra,Urban,2.4,Wildlife,Autumn,Friends
Medium,26-35,Agra,Uttar Pradesh,Urban,3.1,Water Sports,Autumn,Friends
Medium,36-50,Sikkim,Sikkim,Hill Station,4.1,Water Sports,Monsoon,Family
Medium,50+,Varanasi,Uttar Pradesh,Heritage,1.8,Wildlife,Summer,Family
High,36-50,Goa,Goa,Adventure,4.8,Water Sports,Autumn,Family
,36-50,Mussoorie,Uttarakhand,Urban,3.4,Sightseeing,Monsoon,Group
Low,50+,Leh,Ladakh,Urban,2.6,Pilgrimage,Spring,Family
Medium,18-25,Leh,Ladakh,Adventure,3.9,Sightseeing,Winter,Solo
High,18-25,Leh,Ladakh,Spiritual,1.7,Trekking,Autumn,Couple
Low,36-50,Leh,Ladakh,Heritage,3.2,Pilgrimage,Winter,Couple
Low,36-50,Mussoorie,Uttarakhand,Hill Station,3.2,Trekking,Autumn,Friends
Medium,50+,Agra,Uttar Pradesh,Spiritual,2.1,Wildlife,Monsoon,Friends
Medium,36-50,Manali,Himachal Pradesh,Spiritual,4.4,Trekking,Winter,Group
High,36-50,Udaipur,Rajasthan,Beach,4.3,Relaxation,Winter,Solo
Medium,18-25,Jaipur,Rajasthan,Heritage,2.0,Trekking,Autumn,Couple
Low,26-35,Chennai,Tamil Nadu,Spiritual,2.8,Trekking,Autumn,Solo
Medium,36-50,Jaipur,Rajasthan,Adventure,1.9,Water Sports,Spring,Friends
Medium,36-50,Ooty,Tamil Nadu,Spiritual,4.5,Sightseeing,Monsoon,Friends
Medium,26-35,Varanasi,Uttar Pradesh,Urban,2.6,Trekking,Summer,Friends
High,36-50,Goa,Goa,Spiritual,3.0,Relaxation,Monsoon,Couple
Medium,36-50,Goa,Goa,Hill Station,2.6,Trekking,Winter,Couple
High,18-25,Bangalore,Karnataka,Spiritual,2.6,Pilgrimage,Summer,Group
High,36-50,Udaipur,Rajasthan,Adventure,4.1,Water Sports,Summer,Friends
Low,26-35,Kerala,Kerala,Heritage,4.1,Pilgrimage,Winter,Couple
Low,36-50,Kolkata,West Bengal,Hill Station,3.3,Pilgrimage,Monsoon,Couple
Low,26-35,Udaipur,Rajasthan,Spiritual,3.8,Pilgrimage,Spring,Friends
High,50+,Manali,Himachal Pradesh,Beach,3.3,Pilgrimage,Monsoon,Couple
High,18-25,Kerala,Kerala,Heritage,0.5,Sightseeing,Autumn,Family
Low,18-25,Varanasi,Uttar Pradesh,Spiritual,2.8,Water Sports,Monsoon,Couple
Low,36-50,Goa,Goa,Urban,4.1,Sightseeing,Monsoon,Group
Low,26-35,Varanasi,Uttar Pradesh,Hill Station,4.7,Sightseeing,Spring,Friends
Low,36-50,Mumbai,Maharashtra,Heritage,1.6,Wildlife,Monsoon,Couple
Low,36-50,Andaman,Andaman & Nicobar,Urban,2.8,Water Sports,Monsoon,Solo
High,26-35,Jaipur,Rajasthan,Beach,2.3,Wildlife,Winter,Solo
Medium,18-25,Kolkata,West Bengal,Heritage,4.4,Wildlife,Winter,Group
Low,36-50,Hyderabad,Telangana,Spiritual,4.5,Wildlife,Autumn,Couple
High,18-25,Manali,Himachal Pradesh,Hill Station,2.2,Trekking,Winter,Group
High,50+,Hyderabad,Telangana,Spiritual,4.0,Sightseeing,Winter,Group
Medium,36-50,Goa,Goa,Hill Station,4.1,Trekking,Winter,Family
Low,26-35,Darjeeling,West Bengal,Urban,2.1,Trekking,Summer,Family
Medium,18-25,Chennai,Tamil Nadu,Adventure,3.0,Relaxation,Summer,Couple
Low,18-25,Hyderabad,Telangana,Spiritual,3.7,Wildlife,Summer,Solo
High,36-50,Ooty,Tamil Nadu,Urban,1.6,Water Sports,Spring,Family
Low,50+,Kolkata,West Bengal,Hill Station,2.9,Pilgrimage,Summer,Family
High,18-25,Varanasi,Uttar Pradesh,Heritage,2.0,Relaxation,Autumn,Friends
Medium,26-35,Delhi,Delhi,Spiritual,3.4,Relaxation,Winter,Solo
Medium,50+,Mysore,Karnataka,Urban,4.5,Wildlife,Summer,Group
Medium,18-25,Andaman,Andaman & Nicobar,Hill Station,3.3,Wildlife,Spring,Group
Medium,50+,Andaman,Andaman & Nicobar,Adventure,1.6,Pilgrimage,Summer,Group
High,26-35,Andaman,Andaman & Nicobar,Heritage,1.6,Water Sports,Autumn,Friends
High,36-50,Ooty,Tamil Nadu,Spiritual,3.6,Pilgrimage,Spring,Friends
High,,Goa,Goa,Spiritual,2.6,Trekking,Spring,Solo
Medium,18-25,Bangalore,Karnataka,Beach,1.1,Relaxation,Spring,Couple
High,26-35,Varanasi,Uttar Pradesh,Urban,4.2,Relaxation,Autumn,Friends
Low,50+,Andaman,Andaman & Nicobar,Heritage,4.5,Relaxation,Spring,Couple
Medium,26-35,Rishikesh,Uttarakhand,Heritage,4.6,Relaxation,Summer,Couple
Medium,50+,Rishikesh,Uttarakhand,Heritage,2.6,Sightseeing,Winter,Friends
Low,18-25,Andaman,Andaman & Nicobar,Heritage,3.8,Wildlife,Spring,Solo
Low,26-35,Manali,Himachal Pradesh,Spiritual,2.5,Trekking,Monsoon,Family
Medium,36-50,Mussoorie,Uttarakhand,Spiritual,4.2,Water Sports,Monsoon,Family
High,50+,Sikkim,Sikkim,Heritage,1.9,Wildlife,Winter,Friends
Low,50+,Rishikesh,Uttarakhand,Heritage,4.2,Water Sports,Autumn,Group
Low,36-50,Hyderabad,Telangana,Hill Station,3.0,Pilgrimage,Monsoon,Solo
Low,36-50,Hyderabad,Telangana,Urban,4.5,Pilgrimage,Autumn,Group
Low,26-35,Sikkim,Sikkim,Urban,4.1,Sightseeing,Summer,Friends
Medium,36-50,Manali,Himachal Pradesh,Beach,2.8,Water Sports,Winter,Friends
High,50+,Shimla,Himachal Pradesh,Hill Station,4.7,Trekking,Spring,Family
Medium,36-50,Kerala,Kerala,Spiritual,2.5,Water Sports,Spring,Friends
Medium,26-35,Varanasi,Uttar Pradesh,Hill Station,4.9,Water Sports,Autumn,Solo
Low,36-50,Bangalore,Karnataka,Spiritual,4.2,Wildlife,Summer,Couple
Low,18-25,Mussoorie,Uttarakhand,Spiritual,5.0,Water Sports,Winter,Solo
Medium,26-35,Leh,Ladakh,Heritage,1.7,Sightseeing,Winter,Family
High,36-50,Agra,Uttar Pradesh,Adventure,2.5,Pilgrimage,Winter,Group
Medium,50+,Delhi,Delhi,Spiritual,4.1,Water Sports,Winter,Solo
Low,26-35,Kerala,Kerala,Beach,4.7,Pilgrimage,Autumn,Couple
Medium,50+,Rishikesh,Uttarakhand,Heritage,1.6,Relaxation,Spring,Group
High,36-50,Rishikesh,Uttarakhand,Beach,1.5,Pilgrimage,Winter,Family
High,18-25,Kolkata,West Bengal,Spiritual,2.4,Water Sports,Autumn,Group
,50+,Andaman,Andaman & Nicobar,Beach,4.5,Water Sports,Summer,Couple
Low,18-25,Goa,Goa,Beach,4.2,Trekking,Monsoon,Solo
High,26-35,Varanasi,Uttar Pradesh,Adventure,2.7,Water Sports,Monsoon,Group
Medium,26-35,Leh,Ladakh,Hill Station,1.5,Sightseeing,Summer,Group
Low,18-25,Udaipur,Rajasthan,Hill Station,3.4,Water Sports,Monsoon,Friends
High,26-35,Agra,Uttar Pradesh,Hill Station,2.3,Sightseeing,Autumn,Family
Medium,36-50,Varanasi,Uttar Pradesh,Heritage,4.1,Wildlife,Summer,Group
High,50+,Rishikesh,Uttarakhand,Urban,3.1,Sightseeing,Monsoon,Couple
Medium,50+,Mysore,Karnataka,Spiritual,3.9,Trekking,Monsoon,Group
High,,Hyderabad,Telangana,Adventure,4.5,Pilgrimage,Winter,Couple
High,50+,Mumbai,Maharashtra,Spiritual,3.4,Water Sports,Monsoon,Family
High,50+,Chennai,Tamil Nadu,Urban,2.7,Wildlife,Summer,Family
High,50+,Andaman,Andaman & Nicobar,Beach,4.2,Sightseeing,Monsoon,Family
Medium,26-35,Kolkata,West Bengal,Heritage,2.4,Pilgrimage,Monsoon,Solo
Low,26-35,Ooty,Tamil Nadu,Beach,4.6,Sightseeing,Autumn,Group
Low,,Mussoorie,Uttarakhand,Spiritual,1.7,Pilgrimage,Monsoon,Group
Low,50+,Jaipur,Rajasthan,Urban,4.4,Relaxation,Spring,Solo
Medium,18-25,Hyderabad,Telangana,Spiritual,1.8,Relaxation,Spring,Friends
Low,36-50,Darjeeling,West Bengal,Spiritual,1.7,Relaxation,Summer,Couple
High,26-35,Mysore,Karnataka,Urban,2.8,Relaxation,Summer,Family
High,26-35,Udaipur,Rajasthan,Beach,4.8,Wildlife,Monsoon,Friends
High,26-35,Bangalore,Karnataka,Beach,4.9,Wildlife,Spring,Friends
Low,26-35,Manali,Himachal Pradesh,Heritage,2.2,Relaxation,Autumn,Friends
High,18-25,Mumbai,Maharashtra,Urban,2.0,Wildlife,Winter,Couple
Low,36-50,Sikkim,Sikkim,Hill Station,2.7,Trekking,Summer,Couple
High,26-35,Chennai,Tamil Nadu,Beach,2.7,Pilgrimage,Autumn,Group
Low,36-50,Bangalore,Karnataka,Spiritual,4.2,Water Sports,Monsoon,Solo
Low,18-25,Kolkata,West Bengal,Adventure,3.1,Trekking,Winter,Family
Medium,18-25,Shimla,Himachal Pradesh,Urban,4.2,Pilgrimage,Spring,Solo
Low,50+,Leh,Ladakh,Beach,4.1,Sightseeing,Autumn,Solo
High,18-25,Sikkim,Sikkim,Heritage,3.5,Pilgrimage,Spring,Friends
High,18-25,Darjeeling,West Bengal,Hill Station,4.4,Wildlife,Summer,Group
Low,18-25,Ooty,Tamil Nadu,Hill Station,2.2,Pilgrimage,Spring,Friends
Medium,18-25,Kolkata,West Bengal,Urban,2.1,Sightseeing,Spring,Friends
